A;050;20030501 12:38;PBARBER;
C;050;497569;36;20030501 12:38;101//SP 39982;
D;050;497569;36;20030501 12:38;P;;;;;;
D;050;497569;36;20030501 12:38;V;;;;;;
D;050;497569;36;20030501 12:38;V;;;;;;
B;050;497885;37;20030501 12:38;;;491;PARNALL ST;LAVINGTON;2641;727.3;M;20021223;20030328;150000;A;R;RESIDENCE;;AL;;;9530327;
C;050;497885;37;20030501 12:38;1113//237546;
D;050;497885;37;20030501 12:38;P;;;;;;
D;050;497885;37;20030501 12:38;P;;;;;;
D;050;497885;37;20030501 12:38;V;;;;;;
D;050;497885;37;20030501 12:38;V;;;;;;
B;050;497943;38;20030501 12:38;;;393;PAUL AVE;LAVINGTON;2641;1549;M;20021223;20030324;380000;A;R;RESIDENCE;;AL;;;9543044;
C;050;497943;38;20030501 12:38;1, 2//586414;
D;050;497943;38;20030501 12:38;P;;;;;;
D;050;497943;38;20030501 12:38;P;;;;;;
D;050;497943;38;20030501 12:38;V;;;;;;
D;050;497943;38;20030501 12:38;V;;;;;;
B;050;498632;39;20030501 12:38;;3;;PRUNE ST;LAVINGTON;2641;;;20030205;20030404;48000;;3;UNIT;3;;;;9538703;
C;050;498632;39;20030501 12:38;3//SP 40814;
D;050;498632;39;20030501 12:38;P;;;;;;
D;050;498632;39;20030501 12:38;V;;;;;;
B;050;498632;40;20030501 12:38;;4;;PRUNE ST;LAVINGTON;2641;;;20030106;20030311;48000;;R;RESIDENCE;4;;;;9515459;
C;050;498632;40;20030501 12:38;4//SP 40814;
D;050;498632;40;20030501 12:38;P;;;;;;
D;050;498632;40;20030501 12:38;V;;;;;;
D;050;498632;40;20030501 12:38;V;;;;;;
B;050;498691;41;20030501 12:38;;32;607;PRUNE ST;LAVINGTON;2641;;;20030306;20030404;155000;;R;RESIDENCE;32;;;;9525024;
C;050;498691;41;20030501 12:38;32//SP 45780;
D;050;498691;41;20030501 12:38;P;;;;;;
D;050;498691;41;20030501 12:38;P;;;;;;
D;050;498691;41;20030501 12:38;V;;;;;;
B;050;498781;42;20030501 12:38;;;467;PRUNE ST;LAVINGTON;2641;1062;M;20030228;20030410;139500;A;R;RESIDENCE;;AL;;;9550948;
C;050;498781;42;20030501 12:38;24//235801;
D;050;498781;42;20030501 12:38;P;;;;;;
D;050;498781;42;20030501 12:38;P;;;;;;
D;050;498781;42;20030501 12:38;V;;;;;;
B;050;499064;43;20030501 12:38;;;581;REGINA AVE;NORTH ALBURY;2640;701.9;M;20030213;20030314;162000;A;R;RESIDENCE;;AM;;;9541230;
C;050;499064;43;20030501 12:38;109//241039;
D;050;499064;43;20030501 12:38;P;;;;;;
D;050;499064;43;20030501 12:38;P;;;;;;
D;050;499064;43;20030501 12:38;V;;;;;;
B;050;499120;44;20030501 12:38;;1;448;REID AVE;LAVINGTON;2641;;;20030304;20030409;139500;;3;UNIT;1;;;;9546149;
C;050;499120;44;20030501 12:38;1//SP 46884;
D;050;499120;44;20030501 12:38;P;;;;;;
D;050;499120;44;20030501 12:38;P;;;;;;
D;050;499120;44;20030501 12:38;V;;;;;;
B;050;499418;45;20030501 12:38;;;482;ROSE ST;LAVINGTON;2641;871.8;M;20030219;20030402;175000;A;R;RESIDENCE;;AL;;;9516956;
C;050;499418;45;20030501 12:38;2//851864;
D;050;499418;45;20030501 12:38;P;;;;;;
D;050;499418;45;20030501 12:38;P;;;;;;
D;050;499418;45;20030501 12:38;V;;;;;;
B;050;500287;46;20030501 12:38;;;557;SEYMOUR ST;LAVINGTON;2641;733.5;M;20030228;20030410;90000;A;R;RESIDENCE;;AL;;;9550591;
C;050;500287;46;20030501 12:38;3//205171;
D;050;500287;46;20030501 12:38;P;;;;;;
D;050;500287;46;20030501 12:38;P;;;;;;
D;050;500287;46;20030501 12:38;V;;;;;;
D;050;500287;46;20030501 12:38;V;;;;;;
