A;205;20020603 10:28;MSMITH;
B;205;1917272;24;20020603 10:28;;5;5;CAMPBELL AVE;LEICHHARDT;2040;;;20020306;20020417;485000;;R;RESIDENCE;5;;;;8542965;
C;205;1917272;24;20020603 10:28;5//SP 62748;
D;205;1917272;24;20020603 10:28;P;;;;;;
D;205;1917272;24;20020603 10:28;P;;;;;;
D;205;1917272;24;20020603 10:28;V;;;;;;
B;205;1917825;25;20020603 10:28;;;155;CATHERINE ST;LEICHHARDT;2040;116.1;M;20020126;20020417;429000;A;3;;;EA;;;8578100;
C;205;1917825;25;20020603 10:28;4//776323;
D;205;1917825;25;20020603 10:28;P;;;;;;
D;205;1917825;25;20020603 10:28;V;;;;;;
B;205;1917846;26;20020603 10:28;;;179;CATHERINE ST;LEICHHARDT;2040;145.4;M;20011107;20011128;450000;A;R;RESIDENCE;;EA;;;8631317;
C;205;1917846;26;20020603 10:28;6//239699;
D;205;1917846;26;20020603 10:28;P;;;;;;
D;205;1917846;26;20020603 10:28;P;;;;;;
D;205;1917846;26;20020603 10:28;V;;;;;;
D;205;1917846;26;20020603 10:28;V;;;;;;
B;205;1918053;27;20020603 10:28;;;74;CATHERINE ST;LEICHHARDT;2040;;;20020226;20020501;250000;A;R;RESIDENCE;;EF;;;8630239;
C;205;1918053;27;20020603 10:28;7//528011;
D;205;1918053;27;20020603 10:28;P;;;;;;
D;205;1918053;27;20020603 10:28;P;;;;;;
D;205;1918053;27;20020603 10:28;V;;;;;;
D;205;1918053;27;20020603 10:28;V;;;;;;
B;205;1918324;28;20020603 10:28;;;39;CHARLES ST;GLEBE;2037;;;20020413;20020508;450000;A;R;RESIDENCE;;EA;;;8583732;
C;205;1918324;28;20020603 10:28;8//34042;
D;205;1918324;28;20020603 10:28;P;;;;;;
D;205;1918324;28;20020603 10:28;V;;;;;;
B;205;1918354;29;20020603 10:28;;;9;CHARLES ST;LEICHHARDT;2040;;;20020328;20020426;487500;A;R;RESIDENCE;;EA;;;8559448;
C;205;1918354;29;20020603 10:28;40/6/1162;
D;205;1918354;29;20020603 10:28;P;;;;;;
