A;089;20011109 09:19;CDIXON;
D;089;806122;24;20011109 09:19;V;;;;;;
B;089;806603;25;20011109 09:19;;;25;BANKSIA ST;GRANVILLE;2142;;;20010321;20010710;272000;A;R;RESIDENCE;;BC;;;7777648;
C;089;806603;25;20011109 09:19;249//8264;
D;089;806603;25;20011109 09:19;P;;;;;;
D;089;806603;25;20011109 09:19;P;;;;;;
D;089;806603;25;20011109 09:19;V;;;;;;
B;089;806695;26;20011109 09:19;;;30;BARANGAROO RD;TOONGABBIE;2146;904.2;M;20010521;20010702;282000;A;R;RESIDENCE;;BQ;;;7782655;
C;089;806695;26;20011109 09:19;2//25181;
D;089;806695;26;20011109 09:19;P;;;;;;
D;089;806695;26;20011109 09:19;P;;;;;;
D;089;806695;26;20011109 09:19;V;;;;;;
B;089;806910;27;20011109 09:19;;;14;BARNEY ST;PARRAMATTA;2150;665;M;20010515;20010713;620000;I;3;NULL;;FG;;;7786340;
C;089;806910;27;20011109 09:19;1//128123 1//548393;
D;089;806910;27;20011109 09:19;P;;;;;;
D;089;806910;27;20011109 09:19;V;;;;;;
B;089;806971;28;20011109 09:19;;;7;BARONBALI ST;DUNDAS;2117;733.5;M;20010507;20010629;1039500;A;R;RESIDENCE;;AE;;;7780078;
C;089;806971;28;20011109 09:19;21//28563;
D;089;806971;28;20011109 09:19;P;;;;;;
D;089;806971;28;20011109 09:19;V;;;;;;
B;089;806972;29;20011109 09:19;;;5;BARONBALI ST;DUNDAS;2117;796.7;M;20010507;20010629;1039500;A;R;RESIDENCE;;AE;;;7780078;
C;089;806972;29;20011109 09:19;22//28563;
D;089;806972;29;20011109 09:19;P;;;;;;
D;089;806972;29;20011109 09:19;V;;;;;;
B;089;807220;30;20011109 09:19;;1;12;BELLEVUE ST;PARRAMATTA;2150;;;20010521;20010702;208000;;R;RESIDENCE;1;;;;7793651;
C;089;807220;30;20011109 09:19;1//8957;
D;089;807220;30;20011109 09:19;P;;;;;;
D;089;807220;30;20011109 09:19;V;;;;;;
D;089;807220;30;20011109 09:19;V;;;;;;
B;089;807358;31;20011109 09:19;;;57;BELLEVUE ST;NORTH PARRAMATTA;2151;594.4;M;20010516;20010620;405000;A;R;RESIDENCE;;AV;;;7744622;
C;089;807358;31;20011109 09:19;9//19904;
D;089;807358;31;20011109 09:19;P;;;;;;
D;089;807358;31;20011109 09:19;V;;;;;;
B;089;807437;32;20011109 09:19;;;32;BELLOTTI AVE;WINSTON HILLS;2153;557.2;M;20010525;20010704;397500;A;R;RESIDENCE;;CB;;;7752246;
C;089;807437;32;20011109 09:19;2//626055;
D;089;807437;32;20011109 09:19;P;;;;;;
D;089;807437;32;20011109 09:19;P;;;;;;
D;089;807437;32;20011109 09:19;V;;;;;;
D;089;807437;32;20011109 09:19;V;;;;;;
B;089;807439;33;20011109 09:19;;;;BELLOTTI AVE HOUSE NO: LOT 5;WINSTON HILLS;2153;503.7;M;20010123;20010509;421000;A;R;RESIDENCE;;CB;;;7736613;
