A;171;20031002 11:12;PDANN;
D;171;1811784;36;20031002 11:12;P;;;;;;
D;171;1811784;36;20031002 11:12;P;;;;;;
D;171;1811784;36;20031002 11:12;V;;;;;;
D;171;1811784;36;20031002 11:12;V;;;;;;
B;171;1811784;37;20031002 11:12;;6;2;CUPANIA CT;TWEED HEADS;2485;;;20030804;20030903;190225;;R;RESIDENCE;6;;;0;9978811;
C;171;1811784;37;20031002 11:12;6//SP 48387;
D;171;1811784;37;20031002 11:12;P;;;;;;
D;171;1811784;37;20031002 11:12;P;;;;;;
D;171;1811784;37;20031002 11:12;V;;;;;;
B;171;1811901;38;20031002 11:12;;;18;DAINTREE CL;BANORA POINT;2486;726;M;20030820;20030820;475000;A;R;RESIDENCE;;NC;;0;9963571;
C;171;1811901;38;20031002 11:12;265//1015373;
D;171;1811901;38;20031002 11:12;P;;;;;;
D;171;1811901;38;20031002 11:12;P;;;;;;
D;171;1811901;38;20031002 11:12;V;;;;;;
B;171;2917531;39;20031002 11:12;'BANORA PALMS';7;26;TOOLONA AVE;BANORA POINT;2486;;;20030829;20030910;220000;;R;RESIDENCE;7;;;0;9972092;
C;171;2917531;39;20031002 11:12;7//SP 32788;
D;171;2917531;39;20031002 11:12;P;;;;;;
D;171;2917531;39;20031002 11:12;P;;;;;;
D;171;2917531;39;20031002 11:12;V;;;;;;
B;171;1811976;40;20031002 11:12;;;98;DARLINGTON DR;BANORA POINT;2486;916.5;M;20030815;20030915;285000;A;R;RESIDENCE;;HQ;;0;9995682;
C;171;1811976;40;20031002 11:12;437//791635;
D;171;1811976;40;20031002 11:12;P;;;;;;
D;171;1811976;40;20031002 11:12;V;;;;;;
D;171;1811976;40;20031002 11:12;V;;;;;;
B;171;1812091;41;20031002 11:12;;1;286;DARLINGTON DR;BANORA POINT;2486;;;20030721;20030915;279000;;R;RESIDENCE;1;;;0;9982112;
C;171;1812091;41;20031002 11:12;1//SP 43318;
D;171;1812091;41;20031002 11:12;P;;;;;;
D;171;1812091;41;20031002 11:12;V;;;;;;
D;171;1812091;41;20031002 11:12;V;;;;;;
B;171;1812496;42;20031002 11:12;;;3;DOLPHIN PL;BANORA POINT;2486;2357;M;20030619;20030709;630000;A;R;RESIDENCE;;HL;;0;9999984;
C;171;1812496;42;20031002 11:12;37//246952;
D;171;1812496;42;20031002 11:12;P;;;;;;
D;171;1812496;42;20031002 11:12;P;;;;;;
D;171;1812496;42;20031002 11:12;V;;;;;;
B;171;1813230;43;20031002 11:12;;2;8;EASTLAKES DR;TWEED HEADS SOUTH;2486;;;20030729;20030828;242500;;R;RESIDENCE;2;;;0;AA890;
C;171;1813230;43;20031002 11:12;2//SP 48856;
D;171;1813230;43;20031002 11:12;P;;;;;;
D;171;1813230;43;20031002 11:12;P;;;;;;
D;171;1813230;43;20031002 11:12;V;;;;;;
D;171;1813230;43;20031002 11:12;V;;;;;;
B;171;1813478;44;20031002 11:12;;1;60;ELANORA AVE;POTTSVILLE;2489;;;20030620;20030715;215225;;R;RESIDENCE;1;;;0;9979828;
C;171;1813478;44;20031002 11:12;1//SP 39312;
D;171;1813478;44;20031002 11:12;P;;;;;;
D;171;1813478;44;20031002 11:12;P;;;;;;
D;171;1813478;44;20031002 11:12;V;;;;;;
B;171;1813543;45;20031002 11:12;;;24;ELIZA FRASER CT;TERRANORA;2486;668;M;20030805;20030909;167000;A;V;VACANT LAND;;MH;;0;9972291;
C;171;1813543;45;20031002 11:12;333//860725;
D;171;1813543;45;20031002 11:12;P;;;;;;
D;171;1813543;45;20031002 11:12;P;;;;;;
D;171;1813543;45;20031002 11:12;V;;;;;;
D;171;1813543;45;20031002 11:12;V;;;;;;
B;171;1813655;46;20031002 11:12;;17;19;ELIZABETH ST;POTTSVILLE;2489;264;M;20030805;20030904;230000;A;R;RESIDENCE;;JK;;0;9992543;
C;171;1813655;46;20031002 11:12;17//285236;
D;171;1813655;46;20031002 11:12;P;;;;;;
D;171;1813655;46;20031002 11:12;V;;;;;;
B;171;1813956;47;20031002 11:12;;3;13;ENDEAVOUR PDE;TWEED HEADS;2485;;;20030707;20030905;240000;;R;RESIDENCE;3;;;0;9993053;
C;171;1813956;47;20031002 11:12;3//SP 10206;
D;171;1813956;47;20031002 11:12;P;;;;;;
D;171;1813956;47;20031002 11:12;P;;;;;;
D;171;1813956;47;20031002 11:12;V;;;;;;
D;171;1813956;47;20031002 11:12;V;;;;;;
B;171;1814637;48;20031002 11:12;;;6;FIRESTONE DR;BANORA POINT;2486;684.5;M;20030709;20030730;380000;A;R;RESIDENCE;;HR;;0;9967989;
C;171;1814637;48;20031002 11:12;1512//883768;
D;171;1814637;48;20031002 11:12;P;;;;;;
D;171;1814637;48;20031002 11:12;P;;;;;;
D;171;1814637;48;20031002 11:12;V;;;;;;
D;171;1814637;48;20031002 11:12;V;;;;;;
B;171;1814943;49;20031002 11:12;;;3;FRANCES ST;MURWILLUMBAH;2484;613.4;M;20030728;20030827;208000;A;R;RESIDENCE;;JR;;0;9978330;
